Designator,Footprint,Quantity,Value,LCSC Part #
C101,EECS5R5474,1,0.47F,
C102,0402,1,1u,
D101,D_SOD-123,1, RBR5RSM40BTF,
D102,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm,1,GREEN,
D103,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm,1,RED,
J101,PinHeader_1x03_P2.54mm_Horizontal,1,EXT_UART,
J102,02x06_SMD_2.54mm,1,Expansion,
J103,PinHeader_1x02_P1.27mm_Vertical,1,EXP I^{2}C,
U101,SOIC-20W_7.5x12.8mm_P1.27mm,1,DS3234S,
